Title,Original_Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,imdbID,TMDb_ID,MovieLens_ID
The Grifters,The Grifters,1990,1990-08-08,110 min,"Crime, Drama",Stephen Frears,"Donald E. Westlake, Jim Thompson","Anjelica Huston, John Cusack, Annette Bening, Jan Munroe, Robert Weems","A small-time conman has his loyalties torn between his estranged mother and his new girlfriend, both of whom are high-stakes grifters with their own angles to play.",tt0099703,18129,642
The Innocent,The Innocent,1994,1994-09-25,96 min,TV Movie,Mimi Leder,David Venable,"Kelsey Grammer, Polly Draper, Dean Stockwell, Jack Black, Jeff Kober","The owner of a drugstore is killed in a hold-up. The only witness who saw one of the murderers without his mask is Gregory, a nine year old autistic boy. Cop Barlow is sure they'll try to silence him. He tries to get him to draw a picture of the man he saw.",tt0110139,402838,643
The Thin Blue Line,The Thin Blue Line,1988,1988-08-28,103 min,"Crime, Documentary",Errol Morris,Errol Morris,"Randall Adams, David Harris, Gus Rose, Jackie Johnson, Marshall Touchton",Errol Morris's unique documentary dramatically re-enacts the crime scene and investigation of a police officer's murder in Dallas.,tt0096257,14285,644
Ran,乱,1985,1985-06-01,160 min,"Action, Drama, History",Akira Kurosawa,"Hideo Oguni, Akira Kurosawa, Masato Ide, William Shakespeare","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryū, Mieko Harada","With Ran, legendary director Akira Kurosawa reimagines Shakespeare's King Lear as a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.",tt0089881,11645,647
The Quiet Man,The Quiet Man,1952,1952-07-21,129 min,"Romance, Comedy, Drama",John Ford,"John Ford, Frank S. Nugent, Maurice Walsh","John Wayne, Maureen O'Hara, Victor McLaglen, Barry Fitzgerald, Ward Bond","An American man returns to the village of his birth in Ireland, where he finds love and conflict.",tt0045061,3109,648
Once Upon a Time in America,Once Upon a Time in America,1984,1984-05-23,229 min,"Drama, Crime",Sergio Leone,"Sergio Leone, Franco Arcalli, Leonardo Benvenuti, Enrico Medioli, Piero De Bernardi, Franco Ferrini, Harry Grey","Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",tt0087843,311,649
The Seventh Seal,Det sjunde inseglet,1957,1957-02-16,96 min,"Fantasy, Drama",Ingmar Bergman,"Ingmar Bergman, Ingmar Bergman","Max von Sydow, Bengt Ekerot, Gunnar Björnstrand, Nils Poppe, Bibi Andersson","When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",tt0050976,490,650
Glory,Glory,1989,1989-12-15,122 min,"Drama, History, War",Edward Zwick,Kevin Jarre,"Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman, Jihmi Kennedy","Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.",tt0097441,9665,651
Touch of Evil,Touch of Evil,1958,1958-03-30,111 min,"Crime, Thriller, Mystery",Orson Welles,"Orson Welles, Whit Masterson","Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia, Akim Tamiroff","When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas begins his investigation, along with American police captain Hank Quinlan. When Vargas begins to suspect that Quinlan and his shady partner, Menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie, in jeopardy.",tt0052311,1480,653
Chinatown,Chinatown,1974,1974-06-20,130 min,"Crime, Drama, Mystery, Thriller",Roman Polanski,"Robert Towne, Roman Polanski","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman","Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",tt0071315,829,654
Stand by Me,Stand by Me,1986,1986-08-08,89 min,"Crime, Drama",Rob Reiner,"Raynold Gideon, Bruce A. Evans, Stephen King","Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland","After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",tt0092005,235,655
M,M - Eine Stadt sucht einen Mörder,1931,1931-05-11,111 min,"Drama, Thriller, Crime",Fritz Lang,"Fritz Lang, Thea von Harbou","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos","In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",tt0022100,832,656
The Manchurian Candidate,The Manchurian Candidate,1962,1962-10-24,126 min,"Thriller, Drama",John Frankenheimer,"George Axelrod, Richard Condon","Frank Sinatra, Laurence Harvey, Angela Lansbury, Janet Leigh, James Gregory","Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war, the platoon is returned home, and Sergeant Raymond Shaw is lauded as a hero by the rest of his platoon. However, the platoon commander, Captain Bennett Marco, finds himself plagued by strange nightmares and soon races to uncover a terrible plot.",tt0056218,982,657
Pump Up the Volume,Pump Up the Volume,1990,1990-08-22,105 min,"Music, Drama",Allan Moyle,Allan Moyle,"Christian Slater, Samantha Mathis, Annie Ross, Scott Paulin, Mimi Kennedy","Mark Hunter, a lonely high school student, uses his shortwave radio to moonlight as the popular pirate DJ ""Hard Harry."" When his show gets blamed for a teen committing suicide, the students clash with high school faculty and the authorities.",tt0100436,8428,658
Arsenic and Old Lace,Arsenic and Old Lace,1944,1944-09-01,118 min,"Comedy, Crime",Frank Capra,"Joseph Kesselring, Julius J. Epstein, Philip G. Epstein","Cary Grant, Priscilla Lane, Josephine Hull, Jean Adair, Raymond Massey","Mortimer Brewster, a newspaper drama critic, playwright, and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!",tt0036613,212,659
Fried Green Tomatoes,Fried Green Tomatoes,1991,1991-12-27,130 min,"Drama, Comedy",Jon Avnet,"Fannie Flagg, Carol Sobieski, Fannie Flagg","Kathy Bates, Jessica Tandy, Mary-Louise Parker, Mary Stuart Masterson, Cicely Tyson","Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.",tt0101921,1633,660
High Noon,High Noon,1952,1952-06-09,85 min,"Western, Thriller",Fred Zinnemann,"Carl Foreman, John W. Cunningham","Gary Cooper, Thomas Mitchell, Lloyd Bridges, Grace Kelly, Katy Jurado","Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",tt0044706,288,661
Somewhere in Time,Somewhere in Time,1980,1980-10-02,103 min,"Drama, Fantasy, Romance",Jeannot Szwarc,"Richard Matheson, Richard Matheson","Christopher Reeve, Jane Seymour, Christopher Plummer, Teresa Wright, Bill Erwin","Young writer Richard Collier is met on the opening night of his first play by an old lady who begs him to ""Come back to me"". Mystified, he tries to find out about her, and learns that she is a famous stage actress from the early 1900s. Becoming more and more obsessed with her, by self-hypnosis he manages to travel back in time—where he meets her.",tt0081534,16633,662
Being There,Being There,1979,1979-12-19,130 min,"Comedy, Drama",Hal Ashby,"Jerzy Kosiński, Jerzy Kosiński, Robert C. Jones","Peter Sellers, Shirley MacLaine, Melvyn Douglas, Jack Warden, Richard Dysart","A simple-minded gardener named Chance has spent all his life in the Washington D.C. house of an old man. When the man dies, Chance is put out on the street with no knowledge of the world except what he has learned from television.",tt0078841,10322,663
"Paris, Texas","Paris, Texas",1984,1984-07-16,145 min,Drama,Wim Wenders,"Sam Shepard, Walter Donohue, L.M. Kit Carson","Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Hunter Carson, Aurore Clément","A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",tt0087884,655,664
Junichi Yaoi's UFO On-site Coverage Vol.3: Is there a Child between a Human and an Alien - Explore the Mystery of the Underground Secret Base!!,矢追純一 UFO現地取材第3弾-人間と宇宙人との間に子供が?地下秘密基地の謎を探る!!,1992,1992-12-25,100 min,"TV Movie, Documentary, Horror, Science Fiction",Jun'ichi Yaoi,,"Jun'ichi Yaoi, Masaaki Yajima",Junichi Yaoi talks about secret theories about aliens.,,1295001,665
Blood for Dracula,Blood for Dracula,1974,1974-08-13,103 min,Horror,Paul Morrissey,"Paul Morrissey, Bram Stoker, Bram Stoker, Pat Hackett","Udo Kier, Joe Dallesandro, Vittorio De Sica, Maxime McKendry, Arno Jürging","Deathly ill Count Dracula and his slimy underling, Anton, travel to Italy in search of a virgin's blood. They're welcomed at the crumbling estate of indebted Marchese Di Fiore, who's desperate to marry off his daughters to rich suitors. But there, instead of pure women, the count encounters incestuous lesbians with vile blood and Marxist manservant Mario, who's suspicious of the aristocratic Dracula.",tt0071233,25944,666
Audrey Rose,Audrey Rose,1977,1977-04-06,113 min,"Drama, Horror, Thriller",Robert Wise,"Frank De Felitta, Frank De Felitta","Marsha Mason, Anthony Hopkins, John Beck, Susan Swift, Norman Lloyd","A man is convinced that a young girl is the reincarnation of his own daughter Audrey Rose, who died in a fiery car accident, along with his wife, two minutes before the girl was born.",tt0075704,49126,667
Nightmare,Nightmare,1981,1981-10-23,99 min,Horror,Romano Scavolini,Romano Scavolini,"Baird Stafford, Sharon Smith, C.J. Cooke, Mik Cribben, Danny Ronan",A drug-treated schizophrenic plagued by horrible nightmares is released from the hospital and goes on a killing spree.,tt0082818,40368,668
Body Parts,Body Parts,1991,1991-08-02,88 min,"Horror, Thriller",Eric Red,"Eric Red, Norman Snider, Pierre Boileau, Thomas Narcejac, Patricia Herskovic, Joyce Taylor","Jeff Fahey, Lindsay Duncan, Kim Delaney, Zakes Mokae, Brad Dourif","A criminal psychologist loses his arm in a car crash, and becomes one of three patients to have their missing limbs replaced by those belonging to an executed serial killer. One of them dies violently, and disturbing occurrences start happening to the surviving two.",tt0101492,32146,669
Body Snatchers,Body Snatchers,1993,1993-06-09,87 min,"Horror, Science Fiction",Abel Ferrara,"Jack Finney, Stuart Gordon, Dennis Paoli, Nicholas St. John, Larry Cohen, Raymond Cistheri","Terry Kinney, Meg Tilly, Gabrielle Anwar, Reilly Murphy, Billy Wirth","When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials, he brings his family along for the ride. After arriving at the base, his teenage daughter Marti befriends Jean Platt, daughter of the base's commander, General Platt. When people at the base begin acting strangely, Marti becomes convinced that they are slowly being replaced by plant-like aliens.",tt0106452,4722,670
Bride of Frankenstein,Bride of Frankenstein,1935,1935-04-20,75 min,"Horror, Science Fiction",James Whale,"Robert Florey, Mary Shelley, R.C. Sherriff, Lawrence G. Blochman, Philip MacDonald, Edmund Pearson, Josef Berne, Morton Covan, Flo Brummel, William Hurlbut, John L. Balderston, William Hurlbut","Boris Karloff, Colin Clive, Valerie Hobson, Ernest Thesiger, Elsa Lanchester","Dr. Frankenstein and his monster both turn out to be alive, not killed as previously believed. Dr. Frankenstein wants to get out of the evil experiment business, but when a mad scientist, Dr. Pretorius, kidnaps his wife, Dr. Frankenstein agrees to help him create a new creature.",tt0026138,229,671
Candyman,Candyman,1992,1992-10-16,100 min,"Drama, Horror, Thriller",Bernard Rose,"Bernard Rose, Clive Barker, Lynn Weimer","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams","The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.",tt0103919,9529,672
Cape Fear,Cape Fear,1962,1962-04-12,105 min,Thriller,J. Lee Thompson,"John D. MacDonald, James R. Webb","Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin, Martin Balsam","Sam Bowden witnesses a rape committed by Max Cady and testifies against him. When released after 8 years in prison, Cady begins stalking Bowden and his family but is always clever enough not to violate the law.",tt0055824,11349,673
Cat People,Cat People,1982,1982-04-02,118 min,"Thriller, Horror",Paul Schrader,"Alan Ormsby, Paul Schrader, DeWitt Bodeen","Nastassja Kinski, Malcolm McDowell, John Heard, Annette O'Toole, Ruby Dee","After years of separation, Irena Gallier and her minister brother, Paul, reunite in New Orleans. When zoologists capture a wild panther, Irena is drawn to the cat – and zoo curator Oliver to her. Soon, Paul will have to reveal the family secret: that when sexually aroused, they revert into predatory jungle cats.",tt0083722,6217,674
Nosferatu,"Nosferatu, eine Symphonie des Grauens",1922,1922-02-16,95 min,Horror,F. W. Murnau,"Bram Stoker, Henrik Galeen","Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell, Ruth Landshoff","The mysterious Count Orlok summons Thomas Hutter to his remote Transylvanian castle in the mountains. The eerie Orlok seeks to buy a house near Hutter and his wife, Ellen. After Orlok reveals his vampire nature, Hutter struggles to escape the castle, knowing that Ellen is in grave danger. Meanwhile Orlok's servant, Knock, prepares for his master to arrive at his new home.",tt0013442,653,675
The Crucible,The Crucible,1996,1996-11-27,124 min,"Drama, History",Nicholas Hytner,"Arthur Miller, Arthur Miller","Daniel Day-Lewis, Winona Ryder, Paul Scofield, Joan Allen, Bruce Davison",A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.,tt0115988,20539,676
Fire on the Mountain,Fire on the Mountain,1996,1996-11-29,72 min,Documentary,"Beth Gage, George Gage",Beth Gage,Steve Kanaly,"A documentary film about the exploits of the 10th Mountain Division, an elite group of mountain climbers who fought decisive battles against the Nazis in the Italian Alps during the final days of World War II. From the intensive training atop the Colorado Rockies to the spectacular night climb of Italy's Riva Ridge.",tt0116310,168283,677
Volcano,Volcano,1997,1997-04-25,104 min,"Science Fiction, Action, Drama, Thriller",Mick Jackson,"Billy Ray, Jerome Armstrong, Jerome Armstrong","Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle, Jacqueline Kim","An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, working with a geologist, must then use every resource in the city to try and stop the volcano from consuming LA.",tt0120461,10357,678
Kull the Conqueror,Kull the Conqueror,1997,1997-08-29,95 min,"Adventure, Fantasy, Action",John Nicolella,"Robert E. Howard, Charles Edward Pogue","Kevin Sorbo, Tia Carrere, Karina Lombard, Thomas Ian Griffith, Litefoot","A barbarian named Kull becomes ruler after defeating the old king in battle. In an effort to regain the throne, the former king's heirs resurrect Akivasha, a witch queen. However, Akivasha has plans of her own for the throne, and only Kull stands in the way.",tt0119484,17832,680
Wishmaster,Wishmaster,1997,1997-09-19,90 min,"Horror, Fantasy",Robert Kurtzman,Peter Atkins,"Angus Scrimm, Andrew Divoff, Tammy Lauren, Robert Englund, Ari Barak","The Djinn having been released from his ancient prison seeks to capture the soul of the woman who discovered him, thereby opening a portal and freeing his fellow Djinn to take over the earth.",tt0120524,10351,681
I Know What You Did Last Summer,I Know What You Did Last Summer,1997,1997-10-17,101 min,"Horror, Thriller, Mystery",Jim Gillespie,"Kevin Williamson, Lois Duncan","Jennifer Love Hewitt, Sarah Michelle Gellar, Freddie Prinze Jr., Ryan Phillippe, Bridgette Wilson-Sampras","After an accident on a winding road, four teens make the fatal mistake of dumping their victim's body into the sea. Exactly one year later, the deadly secret resurfaces as they're stalked by a hook-handed figure.",tt0119345,3597,682
In the Line of Fire,In the Line of Fire,1993,1993-07-08,128 min,"Action, Drama, Thriller, Crime, Mystery",Wolfgang Petersen,Jeff Maguire,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole","Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",tt0107206,9386,684
Executive Decision,Executive Decision,1996,1996-03-15,132 min,"Action, Adventure, Drama, Thriller",Stuart Baird,"Jim Thomas, John Thomas","Kurt Russell, Steven Seagal, Halle Berry, John Leguizamo, Oliver Platt","Terrorists hijack a 747 inbound to Washington D.C., demanding the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",tt0116253,2320,685
A Perfect World,A Perfect World,1993,1993-11-24,138 min,"Drama, Crime",Clint Eastwood,John Lee Hancock,"Kevin Costner, Clint Eastwood, Laura Dern, T.J. Lowther, Bradley Whitford","A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",tt0107808,9559,686
McHale's Navy,McHale's Navy,1997,1997-04-18,108 min,Comedy,Bryan Spicer,"Andy Rose, Peter Crabbe","Tom Arnold, Dean Stockwell, Debra Messing, David Alan Grier, Bruce Campbell","Retired Lieutenant Commander Quinton McHale spends his days puttering around the Caribbean in the old PT-73 selling homebrew, ice cream, and swimsuit calendars. He's brought out of retirement when his old nemesis turned the second best terrorist in the world, Major Vladikov, takes over the island of San Moreno and starts building a nuclear launch silo on it. With help from his old crew and hindrances from Captain Wallace B. Binghampton, who sank a cruise liner a while back, McHale tries to put Vladikov out of business.",tt0119640,14908,687
Leave It to Beaver,Leave It to Beaver,1997,1997-08-22,84 min,"Comedy, Family",Andy Cadiff,"Joe Connelly, Joe Connelly, Brian Levant, Bob Mosher","Christopher McDonald, Janine Turner, Cameron Finley, Erik von Detten, Adam Zolotin","The Cleavers are an all-American family living in Ohio – wise father Ward, loving mother June, teenage son Wally, and 8-year-old Theodore, better known as 'Beaver'. Beaver hopes to get a bike as a gift from his father and to please him tries out for his school football team and he makes it, only to be embarrassed. The bike he gets is quickly stolen. Meanwhile, Wally is trying to help his friend Eddie Haskell to get the heart of pretty classmate Karen, but Karen seems to like Wally more, and that leads to tensions between the friends.",tt0119509,37244,688
The Jackal,The Jackal,1997,1997-11-14,124 min,"Action, Thriller, Adventure, Crime",Michael Caton-Jones,Chuck Pfarrer,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora, J.K. Simmons","Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI director, a Russian MVK Major,  and a jailed IRA terrorist who can recognize him.",tt0119395,4824,689
Seven Years in Tibet,Seven Years in Tibet,1997,1997-09-12,136 min,"Adventure, Drama, History",Jean-Jacques Annaud,"Heinrich Harrer, Becky Johnston","Brad Pitt, Jamyang Jamtsho Wangchuk, David Thewlis, BD Wong, Mako","Austrian mountaineer Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",tt0120102,978,690
Dark City,Dark City,1998,1998-02-27,100 min,"Mystery, Science Fiction",Alex Proyas,"Alex Proyas, David S. Goyer, Alex Proyas, Lem Dobbs","Rufus Sewell, William Hurt, Kiefer Sutherland, Jennifer Connelly, Richard O'Brien","A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.",tt0118929,2666,691
The American President,The American President,1995,1995-11-17,114 min,"Comedy, Drama, Romance",Rob Reiner,Aaron Sorkin,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",tt0112346,9087,692
Casino,Casino,1995,1995-11-22,179 min,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Nicholas Pileggi, Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles","In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",tt0112641,524,693
Persuasion,Persuasion,1995,1995-05-01,107 min,"Drama, Romance",Roger Michell,"Jane Austen, Nick Dear, Catherine Wearing","Amanda Root, Ciarán Hinds, Susan Fleetwood, Fiona Shaw, John Woodvine","Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",tt0114117,17015,694
Kicking and Screaming,Kicking and Screaming,1995,1995-10-06,96 min,"Comedy, Drama, Romance",Noah Baumbach,"Noah Baumbach, Noah Baumbach, Oliver Berkman","Josh Hamilton, Olivia d'Abo, Chris Eigeman, Parker Posey, Jason Wiles","After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",tt0113537,28387,695
City Hall,City Hall,1996,1996-02-16,111 min,"Drama, Thriller",Harold Becker,"Bo Goldman, Ken Lipper, Paul Schrader, Nicholas Pileggi","Al Pacino, John Cusack, Bridget Fonda, Danny Aiello, Martin Landau","The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",tt0115907,11062,696
The Basketball Diaries,The Basketball Diaries,1995,1995-04-21,102 min,"Drama, Crime",Scott Kalvert,"Jim Carroll, Bryan Goluboff","Leonardo DiCaprio, Mark Wahlberg, Lorraine Bracco, Michael Imperioli, Ernie Hudson",A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,tt0112461,10474,697
The Browning Version,The Browning Version,1994,1994-06-08,97 min,Drama,Mike Figgis,"Terence Rattigan, Ronald Harwood","Albert Finney, Greta Scacchi, Matthew Modine, Julian Sands, Michael Gambon","Andrew Crocker-Harris is an embittered and disliked teacher of Greek and Latin at a British prep school. After nearly 20 years of service, he is being forced to retire for 'health reasons', and perhaps may not even be given a pension. The boys regard him as a Hitler, with some justification. His unfaithful wife Laura tries to hurt him in any way she can. Andrew must come to terms with his failed life and at least regain his own self-esteem.",tt0109340,49805,698
Little Women,Little Women,1994,1994-12-21,119 min,"Drama, Romance",Gillian Armstrong,"Louisa May Alcott, Robin Swicord","Winona Ryder, Gabriel Byrne, Trini Alvarado, Samantha Mathis, Kirsten Dunst","With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",tt0110367,9587,699
Miami Rhapsody,Miami Rhapsody,1995,1995-01-27,95 min,"Comedy, Romance",David Frankel,David Frankel,"Sarah Jessica Parker, Gil Bellows, Antonio Banderas, Mia Farrow, Paul Mazursky","Even though Gwyn Marcus is engaged to her boyfriend, Matt, she is still afraid of commitment. While she admires her parents' loving relationship, she discovers that her family has not always been faithful in marriage, making it harder than ever to settle down. As her mother pressures her to get married, and plenty of attractive men appear in her life, Gwyn learns that she must balance her career, relationships and marriage to be truly happy.",tt0113808,17402,700
"The Wonderful, Horrible Life of Leni Riefenstahl",Die Macht der Bilder: Leni Riefenstahl,1993,1993-09-11,188 min,Documentary,Ray Müller,Ray Müller,"Leni Riefenstahl, Walter Frentz, Horst Kettner, Ray Müller, Luis Trenker","This documentary recounts the life and work of one of most famous, and yet reviled, German film directors in history, Leni Riefenstahl. The film recounts the rise of her career from a dancer, to a movie actor to the most important film director in Nazi Germany who directed such famous propaganda films as Triumph of the Will and Olympiad. The film also explores her later activities after Nazi Germany's defeat in 1945 and her disgrace for being so associated with it which includes her amazingly active life over the age of 90.",tt0107472,41647,701
Barcelona,Barcelona,1994,1994-07-29,100 min,"Comedy, Drama, Romance",Whit Stillman,Whit Stillman,"Taylor Nichols, Chris Eigeman, Tushka Bergen, Mira Sorvino, Pep Munné","During the 1980s, uptight Ted Boynton is a salesman working in the Barcelona office of a Chicago-based company. He receives an unexpected visit from his cousin Fred, a naval officer who has come to Spain on a public relations mission for a U.S. fleet. Not exactly friends in the past, Ted and Fred strike up relationships with women in the Spanish city and experience conflicts -- Ted with his employer, and Fred with the Barcelona community.",tt0109219,16771,702
Widows' Peak,Widows' Peak,1994,1994-04-15,101 min,"Comedy, Thriller, Mystery, Romance",John Irvin,"Hugh Leonard, Hugh Leonard","Mia Farrow, Joan Plowright, Natasha Richardson, Adrian Dunbar, Jim Broadbent",Scandal and mystery reign following the arrival of Edwina in a small Irish town populated entirely by widows. Edwina quickly falls out with the locals while also falling in with the son of the community's leader,tt0111712,25440,703
The House of the Spirits,The House of the Spirits,1993,1993-10-21,140 min,"Romance, Drama",Bille August,"Isabel Allende, Bille August","Meryl Streep, Glenn Close, Jeremy Irons, Winona Ryder, Antonio Banderas","A rancher, his clairvoyant wife and their family face turbulent years in South America.",tt0107151,2259,704
Singin' in the Rain,Singin' in the Rain,1952,1952-04-09,103 min,"Comedy, Romance","Gene Kelly, Stanley Donen","Betty Comden, Adolph Green, Betty Comden, Adolph Green, Arthur Freed","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell","In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",tt0045152,872,705
Bad Moon,Bad Moon,1996,1996-11-01,80 min,Horror,Eric Red,"Wayne Smith, Eric Red","Mariel Hemingway, Michael Paré, Mason Gamble, Hrothgar Mathews, Ken Pogue","One man's struggle to contain the curse he hides within... and his last-ditch attempt to free himself with the love of family. But when it looks as if he is losing his battle, and endangering all he holds most dear, the family dog, Thor, is the last hope for his family's survival... and the end to his Werewolf curse.",tt0115610,49763,706
Enchanted April,Enchanted April,1991,1991-11-27,89 min,"Romance, Drama",Mike Newell,"Peter Barnes, Elizabeth von Arnim","Miranda Richardson, Josie Lawrence, Polly Walker, Joan Plowright, Alfred Molina","Four English women, unhappy with their lives, rent an Italian villa on holiday.",tt0101811,26561,707
"sex, lies, and videotape","sex, lies, and videotape",1989,1989-08-04,101 min,Drama,Steven Soderbergh,Steven Soderbergh,"Andie MacDowell, Peter Gallagher, James Spader, Laura San Giacomo, Ron Vawter","Ann, a frustrated wife, enters into counseling due to a troubled marriage. Unbeknownst to her, her husband John has begun an affair with her sister. When John’s best friend Graham arrives, his penchant for interviewing women about their sex lives forever changes John and Ann’s rocky marriage.",tt0098724,1412,708
